Title,RoleType,Name,Shares,Note
						SLIPS,P,SMITH SHOW PUBLISHING,,
		EVERYTHING FOR ME,W,SMITH ANTONIO RENARD,,
								RAZOR,P,SMITH SHOW PUBLISHING,,
					BACK TIME,W,SMITH ANTONIO RENARD,,
		SHOOT BACK	,ASCAP,Total Current ASCAP Share,100.0,
		TIME,P,SMITH SHOW PUBLISHING,,
			STEAM	,W,SMITH ANTONIO RENARD,,
							CHARM				,P,SMITH SHOW PUBLISHING,,
				A SHOW,P,SMITH SHOW PUBLISHING,,
							HEAT BOX	,ASCAP,Total Current ASCAP Share,100.0,
		TIME,ASCAP,Total Current ASCAP Share,100.0,
		POP RIDE	,W,SMITH ANTONIO RENARD,,
		ROYCE	,W,SMITH ANTONIO RENARD,,
				NEW JACK	,ASCAP,Total Current ASCAP Share,100.0,
				SKY LIFT,W,SMITH ANTONIO RENARD,,
			BEAT BACK	,ASCAP,Total Current ASCAP Share,100.0,
						THE RIPS,P,SMITH SHOW PUBLISHING,,
				COLORS,P,SMITH SHOW PUBLISHING,,
		SAFETY	,W,SMITH ANTONIO RENARD,,
								KEEP STILL,W,SMITH ANTONIO RENARD,,
					TRUTH TIME,W,SMITH ANTONIO RENARD,,
					DRINK	,P,SMITH SHOW PUBLISHING,,
		FUNKY TOWN US,P,SMITH SHOW PUBLISHING,,
				WINDS,W,SMITH ANTONIO RENARD,,
				TEE UP,ASCAP,Total Current ASCAP Share,100.0,
			SPACE,ASCAP,Total Current ASCAP Share,100.0,
					POWER,ASCAP,Total Current ASCAP Share,100.0,
			RUN GAME														,W,SMITH ANTONIO RENARD,,
				BOUNCE	,P,SMITH SHOW PUBLISHING,,
			ALL MINE,W,SMITH ANTONIO RENARD,,
			PRIMETIME,P,SMITH SHOW PUBLISHING,,
		CATCH,P,SMITH SHOW PUBLISHING,,
					MAD AT YOU,ASCAP,Total Current ASCAP Share,100.0,
		SHOOT BACK	,P,SMITH SHOW PUBLISHING,,
		BIG FLAT,ASCAP,Total Current ASCAP Share,100.0,
			LOVE ME	,W,SMITH ANTONIO RENARD,,
				GROUNDS,W,SMITH ANTONIO RENARD,,
				DORMS,P,SMITH SHOW PUBLISHING,,
							MONTH				,W,SMITH ANTONIO RENARD,,
					EXPLORE	,ASCAP,Total Current ASCAP Share,100.0,
			GET DOWN,P,SMITH SHOW PUBLISHING,,
			SPACE,P,SMITH SHOW PUBLISHING,,
			ALL MINE,P,SMITH SHOW PUBLISHING,,
					WEEKS,W,SMITH ANTONIO RENARD,,
						SLIPS,W,SMITH ANTONIO RENARD,,
		I'M DIFFERENT											,P,SMITH SHOW PUBLISHING,,
			RUN GAME														,ASCAP,Total Current ASCAP Share,100.0,
		BUMPIN	,ASCAP,Total Current ASCAP Share,100.0,
		BEAT STREET,ASCAP,Total Current ASCAP Share,100.0,
			CAME OVER,W,SMITH ANTONIO RENARD,,
